vehicle_id,timestamp,segment_id,highway,length_m,speed_kmh,travel_time_seconds
1,2024-01-01 06:00:00.000000,233119,residential,40.62013382981468,35.11506225442383,249.86283218491573
1,2024-01-01 06:04:09.862832,286922,residential,79.24353438108398,32.5159931348104,526.4056784410421
1,2024-01-01 06:12:56.268510,213145,residential,78.56771353499249,48.48443575100802,350.0221434093012
1,2024-01-01 06:18:46.290653,288275,primary,40.80970602167834,40.59350587170274,217.15041141167566
1,2024-01-01 06:22:23.441064,270336,residential,21.226531725004378,31.51474964408078,145.4852380038534
1,2024-01-01 06:24:48.926302,200382,residential,13.459116307659711,23.934995559376798,121.46102618830786
1,2024-01-01 06:26:50.387328,221105,tertiary,259.7657430790649,44.69423652854894,1255.4057270726064
1,2024-01-01 06:47:45.793055,167306,residential,55.49298142096659,33.0497590658615,362.67992039040706
1,2024-01-01 06:53:48.472975,10168,primary,52.72423694391677,44.010071620588164,258.7688399615884
1,2024-01-01 06:58:07.241815,22720,residential,98.19076032666803,9.841612064172036,2155.0538765667757
1,2024-01-01 07:34:02.295692,191318,trunk,351.2291095745906,30.83130183572362,2460.6644270923302
1,2024-01-01 08:15:02.960119,89549,residential,4.780992599816188,15.799443424458824,65.3627076483974
1,2024-01-01 08:16:08.322827,164541,residential,28.426341022147874,11.16165508900727,550.1056619130887
1,2024-01-01 08:25:18.428489,201847,residential,79.15904080631206,19.29123641822033,886.327472406809
1,2024-01-01 08:40:04.755961,296113,residential,225.93486754694834,27.835971550706184,1753.1966254974407
1,2024-01-01 09:09:17.952586,281623,residential,126.53261096197737,13.679857379842153,1997.9041600287853
1,2024-01-01 09:42:35.856746,299386,primary,7.339452994862437,22.607531350396776,70.12361598969818
1,2024-01-01 09:43:45.980362,246615,residential,60.87637953862502,22.79300787410999,576.9005149723554
1,2024-01-01 09:53:22.880877,252901,residential,110.82963561237662,20.42891780408097,1171.8291454230211
1,2024-01-01 10:12:54.710022,233791,residential,39.300587276986285,35.852197586290956,236.77563506107097
1,2024-01-01 10:16:51.485657,284843,primary,21.106605660603375,15.270303727951328,298.55508468671246
1,2024-01-01 10:21:50.040742,26169,primary,6.191903798805765,30.83208741229566,43.37854919315898
1,2024-01-01 10:22:33.419291,128416,tertiary,171.56719121076117,46.33457415106477,799.8026091855817
1,2024-01-01 10:35:53.221900,237001,unclassified,97.97450845699527,22.45798558154545,942.3148728041295
1,2024-01-01 10:51:35.536773,24621,residential,87.46426407785717,27.00364135099658,699.6197585078621
1,2024-01-01 11:03:15.156532,8344,secondary,19.318750004390136,26.268177089139684,158.8557130092401
1,2024-01-01 11:05:54.012245,204850,residential,35.18240955449286,39.232280099219935,193.70274795528792
1,2024-01-01 11:09:07.714993,242832,residential,8.03500500763679,46.47395741484965,37.34480939845655
1,2024-01-01 11:09:45.059802,145369,primary,57.66750185667736,13.045606727527982,954.8180212084806
1,2024-01-01 11:25:39.877823,148724,residential,81.44311103364112,37.49115798567232,469.2229562498272
1,2024-01-01 11:33:29.100779,5108,tertiary,245.13788504480115,28.65651395211743,1847.7398632000943
1,2024-01-01 12:04:16.840642,89638,residential,60.440184678238495,32.93630610998749,396.37352916575963
1,2024-01-01 12:10:53.214171,271845,tertiary,584.8081666555996,46.13368020910308,2738.0985740800356
1,2024-01-01 12:56:31.312745,67609,residential,76.6354999524151,20.04408536404378,825.8430199771477
1,2024-01-01 13:10:17.155765,161654,residential,126.41797184274452,23.922218671460158,1141.4610949363964
1,2024-01-01 13:29:18.616860,241510,tertiary,41.683826983986094,29.258080364483817,307.734017966214
1,2024-01-01 13:34:26.350878,49216,unclassified,75.02638447439018,23.51671259238231,689.1141345885964
1,2024-01-01 13:45:55.465013,248482,residential,64.45832874202868,23.55063709822935,591.1941553939955
1,2024-01-01 13:55:46.659168,256211,tertiary,98.84853521251523,41.57917611045299,513.5090591786783
1,2024-01-01 14:04:20.168227,114277,residential,192.22416883430884,32.74640920258909,1267.9381183854475
1,2024-01-01 14:25:28.106345,97,unclassified,107.90685535367084,25.948482210264483,898.2367665101032
1,2024-01-01 14:40:26.343112,152241,residential,104.71273510898796,33.638802582860166,672.3768103168401
1,2024-01-01 14:51:38.719922,26046,tertiary,84.40619157119029,32.203500177931915,566.1414839580315
1,2024-01-01 15:01:04.861406,131021,primary,76.095769749272,13.06441121529344,1258.1268298261818
1,2024-01-01 15:22:02.988236,112942,residential,102.87469399740851,49.21573717522066,451.50058048156444
1,2024-01-01 15:29:34.488816,107951,residential,195.85177752133865,23.248778216114232,1819.6218120093445
1,2024-01-01 15:59:54.110628,241663,trunk,31.960260780390428,21.37552456236492,322.9589200687462
1,2024-01-01 16:05:17.069548,66543,primary,79.91745432416559,16.36117068684892,1055.0693751942258
1,2024-01-01 16:22:52.138923,160168,residential,111.84852294818862,20.280673847739052,1191.2464614434934
1,2024-01-01 16:42:43.385384,29201,residential,304.1655207618044,22.748300708332398,2888.1169335204368
1,2024-01-01 17:30:51.502318,54949,residential,13.043783926028063,27.219510153215467,103.5087447262247
1,2024-01-01 17:32:35.011063,50967,residential,92.04804319908862,16.05287481356642,1238.5555585470822
