segment_id,avg_speed_kmh,avg_travel_time_s,total_trips,highway,length_m,congestion_index
36,46.85034942903597,3083.4782246241757,1,unclassified,668.8057050021579,4.61042452473432
38,28.223305673416935,475.02515354044596,1,trunk,62.068426439508414,7.6532494988156845
44,32.0157268226117,281.18410868220076,1,trunk,41.67737782605971,6.7466842529230355
97,25.948482210264483,898.2367665101032,1,unclassified,107.90685535367084,8.324186295357059
117,21.66235706087668,247.50114037231225,1,secondary,24.821565165366618,9.971214092399343
164,28.57740179255781,354.9301742847043,1,primary,46.958250920539655,7.55841981604679
181,18.730670053184646,1268.4467639417494,1,tertiary,109.99471210843842,11.531888575618522
211,45.322313175408425,581.3595302272497,1,residential,121.98406803920247,4.765864424528095
223,10.002466549453862,2422.55538115032,1,residential,112.18300538960895,21.5946735669707
234,44.25023541029903,307.0108147971198,1,primary,62.89491124203826,4.8813299634949985
269,17.600071286360812,579.2015474431754,1,secondary,47.19439131560362,12.272677563947672
287,35.85422894661226,451.0859642083607,1,residential,74.87657145986068,6.0243939514535025
309,31.101160361623215,403.1877782930923,1,secondary,58.053739576574316,6.9450784950946645
335,40.70103386716572,943.3922091592732,1,secondary,177.76406599542528,5.3069904982008635
349,37.296046216030135,93.64539887228791,1,tertiary,16.169458908608455,5.791498614862867
358,29.302859462641567,1164.3439424359449,1,secondary,157.95651347860422,7.37129426823959
389,19.844527764016526,507.32137652316635,1,residential,46.60904232265304,10.88461275413498
427,47.1397344652669,132.95011564038418,1,residential,29.014968279695545,4.582121695215558
446,20.637968362613893,1090.4071235020683,1,tertiary,104.18420239446533,10.466146483259875
465,18.447586603203032,1559.8839059426755,1,unclassified,133.22265484175983,11.708848677392638
474,34.55593476352355,386.2542706593816,1,primary,61.7934137918424,6.2507352638020555
489,19.16787100523742,504.79894808756654,1,secondary,44.79593111352785,11.268857138123492
517,6.976314897533075,4883.286428838133,1,residential,157.71918454826184,30.96190512793233
603,38.64508754760533,376.7341920638105,1,tertiary,67.4024344188996,5.589326191431662
665,46.583593800025824,511.95924794649346,1,residential,110.411581706047,4.636825594161872
675,16.219010894222684,1845.8552963814716,1,tertiary,138.60160722763763,13.317704847028656
685,31.501465803513625,18.3422635407083,1,primary,2.675037905956746,6.856823785511203
694,16.731779635837107,798.2592545343696,1,residential,61.83471268118832,12.909565192775936
762,43.03557347968379,422.8288590352373,1,trunk,84.24390014973062,5.019103558640137
771,40.34884852104327,1126.344146527968,1,residential,210.40133958713312,5.353312620243642
822,23.375149920902683,291.900466087453,1,unclassified,31.58896831840548,9.240582444643362
849,42.28564086856159,195.08592305426305,1,residential,38.191357781409295,5.108116976904826
886,31.908550280932737,779.3166614679196,1,unclassified,115.12437443156367,6.769345460645163
951,38.31843186651061,47.68762227867241,1,primary,8.459791227598156,5.636973891637221
1008,48.69988721399483,166.20911694814941,1,tertiary,37.473913191261815,4.4353285470839525
1018,39.04270869128233,920.4925021238497,1,secondary,166.38203987468074,5.532403033507501
1021,30.715254411425384,635.1759277649454,1,residential,90.32217693200671,7.032336346843113
1047,34.797509455169504,577.0764838668416,1,primary,92.96677964681663,6.207340794842751
1059,26.87483659883567,1485.617491065502,1,residential,184.8413301886925,8.037258169203454
1083,49.150983395319045,465.02442101913533,1,primary,105.81670183300636,4.394622143421265
1127,34.65625227580913,590.6283251966305,1,unclassified,94.76372332987529,6.232641610552132
